id_identificador;descripcion;direccion;fechaAlta;id_barrio;id_geometria;id_municipio;id_identificador_tipo;id_usuario;id_zona;id_zona_administrativa;fecha_actualizacion;codigo_unico;habilitado;metros_cuadrados;latitud;longitud
2584237;COMPANIA SUDAMERICANA DE DISEÑ;PARANA 4434;21/8/2025 20:18;25019;14648228;377;650;9505;25308;;;;True;;-34,51221629;-58,52930359
2584240;SARTORIUS ARGENTINA S A;AMARO AVALOS 4247;21/8/2025 20:18;25019;14648231;377;650;9505;25308;;;;True;;-34,51157835;-58,52640825
2584249;BBVA BANCO FRANCES SOCIEDAD AN;MARIANO MORENO 4172;21/8/2025 20:18;25019;14648240;377;650;9505;25308;;;;True;;-34,51197305;-58,5256856
2584252;MAPFRE ARGENTINA SEGUROS SOCIE;MARIANO MORENO 4172;21/8/2025 20:18;25019;14648243;377;650;9505;25308;;;;True;;-34,51197305;-58,5256856
2584255;RECKITT BENCKISER HEALTH ARGEN;MARIANO MORENO 4172;21/8/2025 20:18;25019;14648246;377;650;9505;25308;;;;True;;-34,51197305;-58,5256856
2584260;IGT ARGENTINA S A;MARIANO MORENO 4172;21/8/2025 20:18;25019;14648251;377;650;9505;25308;;;;True;;-34,51197305;-58,5256856
2584265;MATERIA PRIMA SOCIEDAD ANONIMA;PARANA 4302;21/8/2025 20:18;25019;14648256;377;650;9505;25308;;;;True;;-34,51159756;-58,52797639
2584267;ANTARTICO ICE S.R.L;JUAN B CABRAL 4281;21/8/2025 20:18;25019;14648258;377;650;9505;25308;;;;True;;-34,51225922;-58,52877704
2584275;SEPSOL S.R.L.;PARANA 4452;21/8/2025 20:18;25019;14648266;377;650;9505;25308;;;;True;;-34,51227788;-58,5294347
2584280;CRISTANINI S.A.;PARANA 4402;21/8/2025 20:18;25019;14648271;377;650;9505;25308;;;;True;;-34,51210347;-58,52906346
2584282;ASOCIACION DE AYUDA MUTUA Y AC;PANAMA 4260;21/8/2025 20:18;25019;14648273;377;650;9505;25308;;;;True;;-34,51199831;-58,52763391
2584286;RADIADORES FABIAN S.A.;PARANA 4458;21/8/2025 20:18;25019;14648277;377;650;9505;25308;;;;True;;-34,512309;-58,52950093
2584288;GERARDO RAMON Y CIA S A I C;AMARO AVALOS 4208;21/8/2025 20:18;25019;14648279;377;650;9505;25308;;;;True;;-34,51199865;-58,52622773
2584290;IDERO S.R.L.;MARIANO MORENO 4103;21/8/2025 20:18;25019;14648281;377;650;9505;25308;;;;True;;-34,51161291;-58,52508168
2584293;LABORATORIOS MILLET FRANKLIN S;AMARO AVALOS 4208;21/8/2025 20:18;25019;14648284;377;650;9505;25308;;;;True;;-34,51199865;-58,52622773
2584294;FOOD SERVICE AMERICA S A;AMARO AVALOS 4248;21/8/2025 20:18;25019;14648285;377;650;9505;25308;;;;True;;-34,51161308;-58,52648462
2584305;ADICOL S.A.;PANAMA 4224;21/8/2025 20:18;25019;14648296;377;650;9505;25308;;;;True;;-34,51234677;-58,52740165
2584308;CRISTALES NORTE SRL.;MARIANO MORENO 4260;21/8/2025 20:18;25019;14648299;377;650;9505;25308;;;;True;;-34,51244428;-58,52669657
2584318;PAREDSUR SRL;MARIANO MORENO 4242;21/8/2025 20:18;25019;14648309;377;650;9505;25308;;;;True;;-34,51236755;-58,52653336
2584331;LH TRADING S.R.L;PARANA 4474;21/8/2025 20:18;25019;14648322;377;650;9505;25308;;;;True;;-34,51239197;-58,52967756
2584338;MICROTEX SRL;PARANA 4496;21/8/2025 20:18;25019;14648329;377;650;9505;25308;;;;True;;-34,51250606;-58,52992041
2584340;CRISTALES, NORTE SRL.;MARIANO MORENO 4276;21/8/2025 20:18;25019;14648331;377;650;9505;25308;;;;True;;-34,51251249;-58,52684164
2584343;CARLOS E DELGADO Y COMPAÑIA SA;PARANA 4502;21/8/2025 20:18;25019;14648334;377;650;9505;25308;;;;True;;-34,512611;-58,53014327
2584347;ARISCO SOCIEDAD ANONIMA;HIPOLITO BOUCHARD 4191;21/8/2025 20:18;25019;14648338;377;650;9505;25308;;;;True;;-34,5126334;-58,5254567
2584349;ALIMENTOS DE SOJA S.A.;HIPOLITO BOUCHARD 4191;21/8/2025 20:18;25019;14648340;377;650;9505;25308;;;;True;;-34,5126334;-58,5254567
2584353;VALTER MOTOR SA;HIPOLITO BOUCHARD 4170;21/8/2025 20:18;25019;14648344;377;650;9505;25308;;;;True;;-34,51263546;-58,52528258
2584354;EDENRED ARGENTINA SOCIEDAD ANO;HIPOLITO BOUCHARD 4175;21/8/2025 20:18;25019;14648345;377;650;9505;25308;;;;True;;-34,51254544;-58,52526659
2584355;LOGAN MOTOR S.A.;HIPOLITO BOUCHARD 4170;21/8/2025 20:18;25019;14648346;377;650;9505;25308;;;;True;;-34,51263546;-58,52528258
2584356;UNILEVER ASCC SUCURSAL ARGENTI;HIPOLITO BOUCHARD 4175;21/8/2025 20:18;25019;14648347;377;650;9505;25308;;;;True;;-34,51254544;-58,52526659
2584359;LIBERALOTTO ANTONIO PASCUALINO;MARIANO MORENO 4305;21/8/2025 20:18;25019;14648350;377;650;9505;25308;;;;True;;-34,51265482;-58,52732084
2584370;GHIBLI ARGENTINA S.R.L;PARANA 4412;21/8/2025 20:18;25019;14648361;377;650;9505;25308;;;;True;;-34,51213873;-58,5291385
2584372;ANDINOX S.R.L;PARANA 4412;21/8/2025 20:18;25019;14648363;377;650;9505;25308;;;;True;;-34,51213873;-58,5291385
2584373;MAPFRE ARGENTINA SEGUROS SOCIE;HIPOLITO BOUCHARD 4177;21/8/2025 20:18;25019;14648364;377;650;9505;25308;;;;True;;-34,51255643;-58,52529035
2584375;IBERO ASISTENCIA S.A.;HIPOLITO BOUCHARD 4177;21/8/2025 20:18;25019;14648366;377;650;9505;25308;;;;True;;-34,51255643;-58,52529035
2584377;ACERBRAG S A;HIPOLITO BOUCHARD 4177;21/8/2025 20:18;25019;14648368;377;650;9505;25308;;;;True;;-34,51255643;-58,52529035
2584379;ZALAZAR, BEATRIZ CATALINA;HIPOLITO BOUCHARD 4178;21/8/2025 20:18;25019;14648370;377;650;9505;25308;;;;True;;-34,51268446;-58,52538848
2584380;SHI SISTEMA HIGIENE INSTITUCIO;PANAMA 4238;21/8/2025 20:18;25019;14648371;377;650;9505;25308;;;;True;;-34,51221126;-58,52749197
2584382;OCA LOG  S.A.;HIPOLITO BOUCHARD 4177;21/8/2025 20:18;25019;14648373;377;650;9505;25308;;;;True;;-34,51255643;-58,52529035
2584383;EXTERNAL MARKET SRL;JUAN B CABRAL 4235;21/8/2025 20:18;25019;14648374;377;650;9505;25308;;;;True;;-34,51270365;-58,52848064
2584384;MAPFRE ARGENTINA SEGUROS DE VI;HIPOLITO BOUCHARD 4177;21/8/2025 20:18;25019;14648375;377;650;9505;25308;;;;True;;-34,51255643;-58,52529035
2584387;EDITORA DE FIGURITAS SA;MARIANO MORENO 4327;21/8/2025 20:18;25019;14648378;377;650;9505;25308;;;;True;;-34,51274977;-58,52752282
2584392;ITT BORNEMANN - GOULDS PUMPS S.R.L.;MARIANO MORENO 4333;21/8/2025 20:18;25019;14648383;377;650;9505;25308;;;;True;;-34,51277566;-58,5275779
2584394;MARTINEZ, SERGIO DANIEL;HIPOLITO BOUCHARD 4194;21/8/2025 20:18;25019;14648385;377;650;9505;25308;;;;True;;-34,51278246;-58,5256003
2584397;PEMAC CONSTRUCCIONES SRL;PARANA 4552;21/8/2025 20:18;25019;14648388;377;650;9505;25308;;;;True;;-34,51279737;-58,53054731
2584416;ARGENTECNICA S.A;MARIANO MORENO 4340;21/8/2025 20:18;25019;14648407;377;650;9505;25308;;;;True;;-34,51286435;-58,52759013
2584422;AUBERDIAC SEBASTIAN EMILIO JUA;MARIANO MORENO 4348;21/8/2025 20:18;25019;14648413;377;650;9505;25308;;;;True;;-34,51289888;-58,52766357
2584423;ICIAR COSMETICA S.R.L.;MARIANO MORENO 4252;21/8/2025 20:18;25019;14648414;377;650;9505;25308;;;;True;;-34,51241018;-58,52662403
2584424;PAREDSUR SRL;MARIANO MORENO 4252;21/8/2025 20:18;25019;14648415;377;650;9505;25308;;;;True;;-34,51241018;-58,52662403
2584426;GARATECHE LUIS ALBERTO;PARANA 4484;21/8/2025 20:18;25019;14648417;377;650;9505;25308;;;;True;;-34,51244383;-58,52978794
2584431;TALLERES AENE S.R.L.;HIPOLITO BOUCHARD 4246;21/8/2025 20:18;25019;14648422;377;650;9505;25308;;;;True;;-34,51305889;-58,52621352
2584438;ATOTECH ARGENTINA SA;PARANA 4574;21/8/2025 20:18;25019;14648429;377;650;9505;25308;;;;True;;-34,51290879;-58,53079315
2584439;IGENAR ARGENTINA S.A.;PANAMA 4160;21/8/2025 20:18;25019;14648430;377;650;9505;25308;;;;True;;-34,51291091;-58,52702696
2584441;ALCACID S.R.L.;MARIANO MORENO 4352;21/8/2025 20:18;25019;14648432;377;650;9505;25308;;;;True;;-34,51291614;-58,5277003
2584444;LISTORTI LUIS ENRIQUE;AMARO AVALOS 4085;21/8/2025 20:18;25019;14648435;377;650;9505;25308;;;;True;;-34,51292947;-58,52563535
2584445;ROGGERONE S R L;PANAMA 4121;21/8/2025 20:18;25019;14648436;377;650;9505;25308;;;;True;;-34,51306399;-58,52682633
2584461;QUIFA SERVICIOS S.A;MARIANO MORENO 4310;21/8/2025 20:18;25019;14648452;377;650;9505;25308;;;;True;;-34,51273488;-58,52731471
2584465;LIRHE SA;BARTOLOME MITRE 4297;21/8/2025 20:18;25019;14648456;377;650;9505;25308;;;;True;;-34,51308668;-58,53107647
2584482;POLIMEX ARGENTINA SA;MARIANO MORENO 4457;21/8/2025 20:18;25019;14648473;377;650;9505;25308;;;;True;;-34,51338512;-58,5288744
